question_word,correct_answer,model_guess,label
enormously,tremendously,tremendously,correct
provisions,stipulations,jurisdictions,guess
haphazardly,randomly,randomly,correct
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,bred,guess
advent,coming,financing,wrong
concisely,succinctly,succinctly,correct
salutes,greetings,information,guess
solitary,alone,restless,wrong
hasten,accelerate,accelerate,correct
perseverance,endurance,endurance,correct
fanciful,imaginative,imaginative,correct
showed,demonstrated,published,guess
constantly,continually,continually,correct
issues,subjects,salaries,guess
furnish,supply,supply,correct
costly,expensive,expensive,correct
recognized,acknowledged,depicted,guess
spot,location,location,correct
make,earn,earn,correct
often,frequently,frequently,correct
easygoing,relaxed,relaxed,correct
debate,argument,argument,correct
narrow,thin,thin,correct
arranged,planned,explained,guess
infinite,limitless,limitless,correct
showy,striking,entertaining,wrong
levied,imposed,requested,guess
deftly,skillfully,skillfully,correct
distribute,circulate,circulate,correct
discrepancies,differences,differences,correct
prolific,productive,serious,wrong
unmatched,unequaled,unequaled,correct
peculiarly,uniquely,uniquely,correct
hue,color,color,correct
hind,rear,rear,correct
highlight,accentuate,accentuate,correct
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,fittingly,wrong
physician,doctor,doctor,correct
essentially,basically,basically,correct
keen,sharp,simple,wrong
situated,positioned,rotating,guess
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,organized,wrong
tasks,jobs,jobs,correct
unlikely,improbable,improbable,correct
halfheartedly,apathetically,unconventionally,wrong
annals,chronicles,trails,guess
wildly,furiously,furiously,correct
hailed,acclaimed,judged,guess
command,mastery,love,wrong
concocted,devised,cleaned,guess
prospective,potential,potential,correct
generally,broadly,accurately,wrong
sustained,prolonged,refined,wrong
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,peacefulness,correct
dissipate,disperse,disperse,correct
primarily,chiefly,chiefly,correct
colloquial,conversational,recorded,wrong
resolved,settled,forgotten,guess
feasible,possible,permitted,guess
expeditiously,rapidly,rapidly,correct
percentage,proportion,proportion,correct
terminated,ended,evaluated,guess
uniform,alike,alike,correct
figure,solve,solve,correct
sufficient,enough,enough,correct
fashion,manner,manner,correct
marketed,sold,sweetened,guess
bigger,larger,larger,correct
roots,origins,rituals,guess
normally,ordinarily,ordinarily,correct
