question_word,correct_answer,model_guess,label
enormously,tremendously,uniquely,guess
provisions,stipulations,jurisdictions,guess
haphazardly,randomly,densely,guess
prominent,conspicuous,mysterious,wrong
zenith,pinnacle,decline,guess
flawed,imperfect,crude,guess
urgently,desperately,desperately,correct
consumed,eaten,supplied,wrong
advent,coming,stability,guess
concisely,succinctly,positively,guess
salutes,greetings,ceremonies,guess
solitary,alone,alone,correct
hasten,accelerate,accompany,guess
perseverance,endurance,skill,wrong
fanciful,imaginative,imaginative,correct
showed,demonstrated,repeated,wrong
constantly,continually,continually,correct
issues,subjects,subjects,correct
furnish,supply,supply,correct
costly,expensive,expensive,correct
recognized,acknowledged,depicted,guess
spot,location,climate,wrong
make,earn,borrow,wrong
often,frequently,hardly,wrong
easygoing,relaxed,relaxed,correct
debate,argument,argument,correct
narrow,thin,thin,correct
arranged,planned,discarded,wrong
infinite,limitless,relative,wrong
showy,striking,striking,correct
levied,imposed,requested,guess
deftly,skillfully,occasionally,wrong
distribute,circulate,commercialize,guess
discrepancies,differences,deposits,guess
prolific,productive,capable,guess
unmatched,unequaled,unequaled,correct
peculiarly,uniquely,suspiciously,guess
hue,color,color,correct
hind,rear,hairy,wrong
highlight,accentuate,alter,guess
hastily,hurriedly,habitually,wrong
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,fittingly,guess
physician,doctor,chemist,wrong
essentially,basically,ordinarily,wrong
keen,sharp,sharp,correct
situated,positioned,emptying,wrong
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,proposed,wrong
tasks,jobs,materials,wrong
unlikely,improbable,unpopular,guess
halfheartedly,apathetically,bipartisanly,guess
annals,chronicles,chronicles,correct
wildly,furiously,distinctively,guess
hailed,acclaimed,remembered,wrong
command,mastery,awareness,guess
concocted,devised,requested,wrong
prospective,potential,prominent,wrong
generally,broadly,accurately,wrong
sustained,prolonged,lowered,wrong
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,peacefulness,correct
dissipate,disperse,photograph,wrong
primarily,chiefly,cautiously,wrong
colloquial,conversational,recorded,guess
resolved,settled,examined,wrong
feasible,possible,equitable,wrong
expeditiously,rapidly,rapidly,correct
percentage,proportion,sample,guess
terminated,ended,posed,wrong
uniform,alike,hard,wrong
figure,solve,list,wrong
sufficient,enough,valuable,wrong
fashion,manner,fathom,wrong
marketed,sold,sweetened,guess
bigger,larger,larger,correct
roots,origins,rituals,guess
normally,ordinarily,periodically,guess
