question_word,correct_answer,model_guess,label
enormously,tremendously,tremendously,correct
provisions,stipulations,stipulations,correct
haphazardly,randomly,randomly,correct
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,ceremonies,wrong
solitary,alone,alone,correct
hasten,accelerate,accelerate,correct
perseverance,endurance,disturbance,wrong
fanciful,imaginative,imaginative,correct
showed,demonstrated,demonstrated,correct
constantly,continually,continually,correct
issues,subjects,benefits,wrong
furnish,supply,impress,wrong
costly,expensive,expensive,correct
recognized,acknowledged,acknowledged,correct
spot,location,latitude,wrong
make,earn,trade,wrong
often,frequently,frequently,correct
easygoing,relaxed,relaxed,correct
debate,argument,argument,correct
narrow,thin,freezing,wrong
arranged,planned,planned,correct
infinite,limitless,limitless,correct
showy,striking,entertaining,wrong
levied,imposed,imposed,correct
deftly,skillfully,skillfully,correct
distribute,circulate,circulate,correct
discrepancies,differences,differences,correct
prolific,productive,capable,wrong
unmatched,unequaled,unequaled,correct
peculiarly,uniquely,uniquely,correct
hue,color,color,correct
hind,rear,hairy,wrong
highlight,accentuate,accentuate,correct
hastily,hurriedly,hurriedly,correct
temperate,mild,short,wrong
grin,smile,smile,correct
verbally,orally,overtly,wrong
physician,doctor,pharmacist,wrong
essentially,basically,basically,correct
keen,sharp,sharp,correct
situated,positioned,positioned,correct
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,customers,wrong
unlikely,improbable,improbable,correct
halfheartedly,apathetically,apathetically,correct
annals,chronicles,chronicles,correct
wildly,furiously,furiously,correct
hailed,acclaimed,acclaimed,correct
command,mastery,observation,wrong
concocted,devised,devised,correct
prospective,potential,potential,correct
generally,broadly,broadly,correct
sustained,prolonged,prolonged,correct
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,peacefulness,correct
dissipate,disperse,disperse,correct
primarily,chiefly,chiefly,correct
colloquial,conversational,conversational,correct
resolved,settled,settled,correct
feasible,possible,possible,correct
expeditiously,rapidly,rapidly,correct
percentage,proportion,proportion,correct
terminated,ended,posed,wrong
uniform,alike,sharp,wrong
figure,solve,solve,correct
sufficient,enough,enough,correct
fashion,manner,craze,wrong
marketed,sold,sold,correct
bigger,larger,better,wrong
roots,origins,origins,correct
normally,ordinarily,ordinarily,correct
